api_fetched_at,timestamp,temperature,rainfall,hour,condition
2026-06-08 17:20:04,2026-06-04 07:00:00,17.9,0.0,7,Clear
2026-06-08 17:20:04,2026-06-04 08:00:00,19.4,0.0,8,Clear
2026-06-08 17:20:04,2026-06-04 09:00:00,21.2,0.0,9,Clear
2026-06-08 17:20:04,2026-06-04 10:00:00,22.2,0.0,10,Clear
2026-06-08 17:20:04,2026-06-04 11:00:00,23.0,0.0,11,Clear
2026-06-08 17:20:04,2026-06-04 12:00:00,23.7,0.0,12,Clear
2026-06-08 17:20:04,2026-06-04 13:00:00,23.7,0.0,13,Clear
2026-06-08 17:20:04,2026-06-04 14:00:00,23.2,0.0,14,Clear
2026-06-08 17:20:04,2026-06-04 15:00:00,23.3,0.0,15,Clear
2026-06-08 17:20:04,2026-06-04 16:00:00,20.1,1.1,16,Light Rain
2026-06-08 17:20:04,2026-06-04 17:00:00,20.7,0.0,17,Clear
2026-06-08 17:20:04,2026-06-04 18:00:00,19.8,0.0,18,Clear
2026-06-08 17:20:04,2026-06-04 19:00:00,19.5,0.0,19,Clear
2026-06-08 17:20:04,2026-06-04 20:00:00,18.6,0.4,20,Light Rain
2026-06-08 17:20:04,2026-06-04 21:00:00,17.4,0.3,21,Light Rain
2026-06-08 17:20:04,2026-06-04 22:00:00,16.9,0.1,22,Light Rain
2026-06-08 17:20:04,2026-06-04 23:00:00,16.2,0.1,23,Light Rain
2026-06-08 17:20:04,2026-06-05 00:00:00,16.2,0.0,0,Clear
2026-06-08 17:20:04,2026-06-05 01:00:00,15.7,0.0,1,Clear
2026-06-08 17:20:04,2026-06-05 02:00:00,15.4,0.0,2,Clear
2026-06-08 17:20:04,2026-06-05 03:00:00,15.3,0.0,3,Clear
2026-06-08 17:20:04,2026-06-05 04:00:00,15.1,0.0,4,Clear
2026-06-08 17:20:04,2026-06-05 05:00:00,15.2,0.0,5,Clear
2026-06-08 17:20:04,2026-06-05 06:00:00,15.5,0.0,6,Clear
2026-06-08 17:20:04,2026-06-05 07:00:00,16.3,0.0,7,Clear
2026-06-08 17:20:04,2026-06-05 08:00:00,17.2,0.0,8,Clear
2026-06-08 17:20:04,2026-06-05 09:00:00,18.0,0.0,9,Clear
2026-06-08 17:20:04,2026-06-05 10:00:00,19.0,0.0,10,Clear
2026-06-08 17:20:04,2026-06-05 11:00:00,20.1,0.0,11,Clear
2026-06-08 17:20:04,2026-06-05 12:00:00,19.7,0.0,12,Clear
2026-06-08 17:20:04,2026-06-05 13:00:00,20.6,0.0,13,Clear
2026-06-08 17:20:04,2026-06-05 14:00:00,20.9,0.0,14,Clear
2026-06-08 17:20:04,2026-06-05 15:00:00,20.9,0.0,15,Clear
2026-06-08 17:20:04,2026-06-05 16:00:00,20.9,0.0,16,Clear
2026-06-08 17:20:04,2026-06-05 17:00:00,21.2,0.0,17,Clear
2026-06-08 17:20:04,2026-06-05 18:00:00,21.1,0.0,18,Clear
2026-06-08 17:20:04,2026-06-05 19:00:00,20.5,0.0,19,Clear
2026-06-08 17:20:04,2026-06-05 20:00:00,18.4,0.2,20,Light Rain
2026-06-08 17:20:04,2026-06-05 21:00:00,16.1,0.0,21,Clear
2026-06-08 17:20:04,2026-06-05 22:00:00,15.9,0.0,22,Clear
2026-06-08 17:20:04,2026-06-05 23:00:00,15.3,0.0,23,Clear
2026-06-08 17:20:04,2026-06-06 00:00:00,14.1,0.0,0,Clear
2026-06-08 17:20:04,2026-06-06 01:00:00,13.6,0.0,1,Clear
2026-06-08 17:20:04,2026-06-06 02:00:00,13.1,0.0,2,Clear
2026-06-08 17:20:04,2026-06-06 03:00:00,12.2,0.0,3,Clear
2026-06-08 17:20:04,2026-06-06 04:00:00,12.1,0.0,4,Clear
2026-06-08 17:20:04,2026-06-06 05:00:00,13.0,0.0,5,Clear
2026-06-08 17:20:04,2026-06-06 06:00:00,15.0,0.0,6,Clear
2026-06-08 17:20:04,2026-06-06 07:00:00,16.6,0.0,7,Clear
2026-06-08 17:20:04,2026-06-06 08:00:00,18.3,0.0,8,Clear
2026-06-08 17:20:04,2026-06-06 09:00:00,20.1,0.0,9,Clear
2026-06-08 17:20:04,2026-06-06 10:00:00,21.5,0.0,10,Clear
2026-06-08 17:20:04,2026-06-06 11:00:00,22.6,0.0,11,Clear
2026-06-08 17:20:04,2026-06-06 12:00:00,23.0,0.0,12,Clear
2026-06-08 17:20:04,2026-06-06 13:00:00,23.9,0.0,13,Clear
2026-06-08 17:20:04,2026-06-06 14:00:00,23.2,0.0,14,Clear
