country,cases,deaths,recovered,critical,active,mortality_rate,critical_ratio
USA,111820082,1219487,109814428,940,786167,1.09,0.12
Uganda,172149,3632,100431,0,68086,2.11,0.0
Ukraine,5557995,112418,5445577,0,0,2.02,0.0
Uruguay,1041111,7664,1030944,18,2503,0.74,0.72
Uzbekistan,253662,1637,241486,23,10539,0.65,0.22
Vanuatu,12019,14,11976,0,29,0.12,0.0
Venezuela,552695,5856,546537,31,302,1.06,10.26
Vietnam,11625195,43206,10640971,0,941018,0.37,0.0
Wallis and Futuna,3550,8,438,0,3104,0.23,0.0
Western Sahara,10,1,9,0,0,10.0,0.0
Yemen,11945,2159,9124,0,662,18.07,0.0
Zambia,349304,4069,341316,0,3919,1.16,0.0
Zimbabwe,266359,5740,258888,12,1731,2.15,0.69
